field,signal,value,delay,datatype
current,Vehicle.Speed,56.0,0.009629011154174805,FLOAT
current,Vehicle.Cabin.Infotainment.HMI.SpeedUnit,KILOMETERS_PER_HOUR,0.0006690025329589844,STRING
current,Vehicle.Cabin.Infotainment.Media.Played.Album,DI_SPEED_KPH,0.0006799697875976562,STRING
current,Vehicle.Cabin.Infotainment.Media.Volume,1,0.0005750656127929688,UINT8
current,Vehicle.Powertrain.ElectricMotor.Power,7,0.017206907272338867,INT16
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.07367801666259766,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0010449886322021484,BOOLEAN
current,Vehicle.Speed,56.0,0.011193990707397461,FLOAT
current,Vehicle.Cabin.Infotainment.HMI.SpeedUnit,KILOMETERS_PER_HOUR,0.0008168220520019531,STRING
current,Vehicle.Cabin.Infotainment.Media.Played.Album,DI_SPEED_KPH,0.0008513927459716797,STRING
current,Vehicle.Cabin.Infotainment.Media.Volume,1,0.0007727146148681641,UINT8
current,Vehicle.Powertrain.ElectricMotor.Power,9,0.020541906356811523,INT16
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.07111501693725586,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0005681514739990234,BOOLEAN
current,Vehicle.Speed,56.0,0.025274038314819336,FLOAT
current,Vehicle.Cabin.Infotainment.HMI.SpeedUnit,KILOMETERS_PER_HOUR,0.0006301403045654297,STRING
current,Vehicle.Cabin.Infotainment.Media.Played.Album,DI_SPEED_KPH,0.0005428791046142578,STRING
current,Vehicle.Cabin.Infotainment.Media.Volume,1,0.0004429817199707031,UINT8
current,Vehicle.Powertrain.ElectricMotor.Power,12,0.008561134338378906,INT16
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.07294178009033203,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0010349750518798828,BOOLEAN
current,Vehicle.Powertrain.ElectricMotor.Power,15,0.029497146606445312,INT16
current,Vehicle.Speed,57.0,0.000885009765625,FLOAT
current,Vehicle.Cabin.Infotainment.HMI.SpeedUnit,KILOMETERS_PER_HOUR,0.0009629726409912109,STRING
current,Vehicle.Cabin.Infotainment.Media.Played.Album,DI_SPEED_KPH,0.0007538795471191406,STRING
current,Vehicle.Cabin.Infotainment.Media.Volume,1,0.0005619525909423828,UINT8
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.0676872730255127,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0010559558868408203,BOOLEAN
current,Vehicle.Powertrain.ElectricMotor.Power,28,0.02908802032470703,INT16
current,Vehicle.Speed,57.0,0.02066779136657715,FLOAT
current,Vehicle.Cabin.Infotainment.HMI.SpeedUnit,KILOMETERS_PER_HOUR,0.0007450580596923828,STRING
current,Vehicle.Cabin.Infotainment.Media.Played.Album,DI_SPEED_KPH,0.0010690689086914062,STRING
current,Vehicle.Cabin.Infotainment.Media.Volume,1,0.0008358955383300781,UINT8
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.05426907539367676,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0003650188446044922,BOOLEAN
current,Vehicle.Powertrain.ElectricMotor.Power,22,0.029822111129760742,INT16
current,Vehicle.Speed,58.0,0.030582904815673828,FLOAT
current,Vehicle.Cabin.Infotainment.HMI.SpeedUnit,KILOMETERS_PER_HOUR,0.0004680156707763672,STRING
